3,2,1
9,15,1
14,1,3
10,11,0
11,14,4
7,8,4
6,11,0
5,12,0
9,2,2
14,3,1
15,10,3
15,1,2
2,12,4
4,10,4
4,9,3
9,14,4
0,0,2
13,14,3
5,3,1
15,4,0
1,11,4
1,10,1
13,13,1
9,4,1
5,5,2
0,2,0
5,8,4
15,6,1
12,3,0
11,3,4
6,4,2
12,1,1
12,7,1
15,6,1
3,15,4
5,4,4
6,5,1
13,5,0
1,14,3
13,3,1
14,1,4
13,12,0
11,11,3
15,14,2
9,2,3
0,3,3
6,1,1
10,12,0
9,15,0
9,11,3
2,6,4
7,12,4
7,11,2
11,2,4
9,14,1
6,11,0
9,4,1
0,13,2
8,11,2
9,8,1
2,5,4
14,15,0
3,13,2
12,6,2
3,3,0
10,4,0
9,9,1
5,15,4
7,7,1
2,14,3
4,0,1
14,13,0
11,10,4
12,11,1
10,8,3
6,1,2
9,1,4
8,11,4
2,10,0
6,10,0
1,6,3
13,13,2
13,3,0
10,10,3
11,9,3
11,11,4
13,9,0
2,6,2
3,0,1
6,5,3
14,4,1
4,7,2
8,2,3
3,7,4
2,13,2
12,5,3
10,1,1
5,3,0
15,10,2
6,1,2
