3,11,2
8,14,0
0,5,3
8,14,0
1,9,2
15,2,2
14,0,0
1,11,2
10,1,1
5,6,0
3,8,1
11,10,1
12,11,1
7,5,2
14,3,3
2,9,1
10,13,2
3,13,2
12,5,2
1,4,2
1,1,0
0,13,2
8,13,1
1,15,3
15,10,0
2,2,1
4,5,3
1,1,2
13,1,2
8,7,3
12,6,2
1,11,1
2,1,3
1,15,3
9,4,3
9,1,0
5,14,1
8,7,2
1,11,0
3,4,3
15,7,1
9,1,3
14,9,2
5,8,1
8,10,2
13,7,3
3,8,1
6,8,1
8,15,2
5,0,0
9,1,3
15,6,3
14,8,2
14,3,1
11,11,0
5,7,2
2,12,0
13,3,0
4,8,3
13,0,1
12,3,1
3,5,3
11,9,0
2,3,0
14,7,0
2,1,2
3,3,0
7,2,0
8,8,2
8,5,0
5,4,3
1,5,1
12,9,1
0,4,1
15,14,1
11,9,0
9,9,0
15,5,1
14,14,2
6,7,1
10,5,1
9,4,3
10,5,1
5,14,2
8,13,2
1,6,1
7,14,3
15,2,2
2,0,2
13,0,1
8,0,0
2,6,1
1,10,0
6,1,0
7,10,2
2,7,2
9,7,0
11,5,0
11,10,1
12,3,1
